"","ID","trial","phase","start_dist","min_dist","end_dist","stimuli_passed","last_stimulus"
"1","deb01",1,"training",419.004773242501,3.16227766016838,148.054044186574,"42;43;44",44
"2","deb01",2,"training",431,196.002551003807,197.002538054716,"42;43",43
"3","deb01",3,"training",420,53.0094331227943,53.0094331227943,"42;43",43
"4","deb01",4,"training",552.000905796358,87,87,"41;42;43",43
"5","deb01",5,"training",563.000888098767,54,54,"41;42;43",43
"6","deb01",6,"training",563,3,86.0523096726636,"41;42;43;44",44
"7","deb01",7,"training",676.000739644566,162.012345208629,162.012345208629,"40;41;42;43",43
"8","deb01",8,"training",417.001199039044,2,143.013985330107,"42;43;44",44
"9","deb01",9,"training",487.001026692963,2.23606797749979,66.0681466366357,"42;43;44",44
"10","deb01",10,"training",338,2,141.0035460547,"43;44",44
"11","deb01",11,"training",345,1,100.004999875006,"43;44",44
"12","deb01",12,"training",424.001179243643,108.041658632215,108.041658632215,"42;43",43
"13","deb01",13,"training",343,1.4142135623731,38.0131556174964,"43;44",44
"14","deb01",14,"training",350,19.1049731745428,19.1049731745428,"43;44",44
"15","deb01",15,"training",432,61.0327780786685,61.0327780786685,"42;43",43
"16","deb01",16,"training",342,1,98.0051019080129,"43;44",44
"17","deb01",17,"training",495.00101009998,17.0293863659264,17.0293863659264,"42;43;44",44
"18","deb01",18,"training",431,1.4142135623731,2.23606797749979,"42;43;44",44
"19","deb01",19,"training",432.001157405857,25.0199920063936,25.0199920063936,"42;43;44",44
"20","deb01",20,"training",419.001193315723,6.08276253029822,6.08276253029822,"42;43;44",44
"21","deb01",21,"training",481.001039499916,16.1245154965971,16.1245154965971,"42;43;44",44
"22","deb01",22,"training",329,3.60555127546399,128.035151423349,"43;44",44
"23","deb01",23,"training",561.000891264889,154,154,"41;42;43",43
"24","deb01",24,"training",505,127.003936946852,127.003936946852,"42;43",43
"25","deb01",25,"training",558.000896056628,167.011975618517,167.011975618517,"41;42;43",43
"26","deb01",26,"training",419.001193315723,1,4.12310562561766,"42;43;44",44
"27","deb01",27,"training",337,0,83,"43;44",44
"28","deb01",28,"training",423,3,35.1283361405006,"42;43;44",44
"29","deb01",29,"training",421,1,36.0555127546399,"42;43;44",44
"30","deb01",30,"training",480.001041665536,1,9.05538513813742,"42;43;44",44
"31","deb01",31,"training",676.000739644566,327,328,"40;41;42",42
"32","deb01",32,"training",475,1,19.0262975904404,"42;43;44",44
"33","deb01",33,"training",351.001424498534,0,135,"43;44",44
"34","deb01",34,"training",360,10.0498756211209,10.0498756211209,"43;44",44
"35","deb01",35,"training",562,259.001930494736,259.001930494736,"41;42",42
"36","deb01",36,"training",679,224,225,"40;41;42",42
"37","deb01",37,"training",485,2,30.0665927567458,"42;43;44",44
"38","deb01",38,"training",669,334,334,"40;41;42",42
"39","deb01",39,"training",487.001026692963,3,26.1725046566048,"42;43;44",44
"40","deb01",40,"training",353,1,28.0178514522438,"43;44",44
"41","deb01",41,"training",436.001146787483,0,23,"42;43;44",44
"42","deb01",42,"training",347,1,27.0185121722126,"43;44",44
"43","deb01",43,"training",429,2,17.1172427686237,"42;43;44",44
"44","deb01",44,"training",494.001012144712,1,16.0312195418814,"42;43;44",44
"45","deb01",45,"training",347,1,13.0384048104053,"43;44",44
"46","deb01",46,"training",427.001170958582,1,29.0172362570938,"42;43;44",44
"47","deb01",47,"training",503.000994034803,2,7.28010988928052,"42;43;44",44
"48","deb01",48,"training",675.000740740334,319,319,"40;41;42",42
"49","deb01",49,"training",426.001173707303,2,39.0512483795333,"42;43;44",44
"50","deb01",50,"training",433.001154732871,1,1.4142135623731,"42;43;44",44
"51","deb01",1,"transition",490.004081615653,3,4.24264068711928,"52;53;54",54
"52","deb01",2,"transition",490,2,16.1245154965971,"52;53;54",54
"53","deb01",3,"transition",568,313,313,"51;52",52
"54","deb01",4,"transition",551,322.001552791287,322.001552791287,"51;52",52
"55","deb01",5,"transition",481,1,29.0172362570938,"52;53;54",54
"56","deb01",6,"transition",560.000892856431,326,326,"51;52",52
"57","deb01",7,"transition",344.001453485301,7,7,"53;54",54
"58","deb01",8,"transition",558,315.014285390361,315.014285390361,"51;52",52
"59","deb01",9,"transition",559,315,315,"51;52",52
"60","deb01",10,"transition",556.000899279848,295.006779583114,295.006779583114,"51;52",52
"61","deb01",11,"transition",674.000741839354,306.001633982566,306.001633982566,"50;51;52",52
"62","deb01",12,"transition",338.001479286704,2,2,"53;54",54
"63","deb01",13,"transition",484.001033056749,1,6.08276253029822,"52;53;54",54
"64","deb01",14,"transition",352,1,7.07106781186548,"53;54",54
"65","deb01",15,"transition",673,328.001524386702,328.001524386702,"50;51;52",52
"66","deb01",16,"transition",427.001170958582,0,3,"52;53;54",54
"67","deb01",17,"transition",563.000888098767,319.001567394268,319.001567394268,"51;52",52
"68","deb01",18,"transition",345,1,3.16227766016838,"53;54",54
"69","deb01",19,"transition",424,1,25.0199920063936,"52;53;54",54
"70","deb01",20,"transition",565,315.006349142363,315.006349142363,"51;52",52
"71","deb01",21,"transition",673.00074294164,325,325,"50;51;52",52
"72","deb01",22,"transition",428.001168222705,2,4.47213595499958,"52;53;54",54
"73","deb01",23,"transition",556.000899279848,326,326,"51;52",52
"74","deb01",24,"transition",425,3.16227766016838,3.16227766016838,"52;53;54",54
"75","deb01",25,"transition",554,337.001483676259,337.001483676259,"51;52",52
"76","deb01",26,"transition",486.001028805495,2.23606797749979,2.23606797749979,"52;53;54",54
"77","deb01",27,"transition",555,325.001538457897,325.001538457897,"51;52",52
"78","deb01",28,"transition",496.001008063492,2,11.1803398874989,"52;53;54",54
"79","deb01",29,"transition",422,5.09901951359278,5.09901951359278,"52;53;54",54
"80","deb01",30,"transition",672,322.001552791287,322.001552791287,"50;51;52",52
"81","deb01",31,"transition",552.000905796358,294,294,"51;52",52
"82","deb01",32,"transition",467,3,3.16227766016838,"52;53;54",54
"83","deb01",33,"transition",361.001385038894,10,10,"53;54",54
"84","deb01",34,"transition",439,2,2.82842712474619,"52;53;54",54
